k	Re[k]	Im[k]	ABS[k]
0	   0.00144	   0.00000	   0.00144
1	1075.59705	-1742.22644	2047.50146
2	  -0.00006	  -0.00003	   0.00007
3	   0.00022	  -0.00039	   0.00045
4	  -0.00008	  -0.00006	   0.00010
5	-2022.99500	 315.82965	2047.50024
6	   0.00037	  -0.00007	   0.00038
7	   0.00051	   0.00014	   0.00053
8	   0.00015	  -0.00035	   0.00038
9	   0.00023	   0.00006	   0.00024
10	  -0.00025	   0.00018	   0.00031
11	  -0.00008	   0.00010	   0.00013
12	  -0.00026	   0.00067	   0.00072
13	   0.00037	  -0.00016	   0.00040
14	   0.00006	  -0.00010	   0.00011
15	  -0.00034	   0.00011	   0.00036
16	   0.00007	  -0.00002	   0.00008
17	  -0.00013	  -0.00013	   0.00018
18	  -0.00022	   0.00049	   0.00054
19	  -0.00001	   0.00004	   0.00005
20	   0.00006	   0.00005	   0.00008
21	  -0.00037	   0.00023	   0.00044
22	   0.00003	  -0.00002	   0.00004
23	   0.00013	  -0.00008	   0.00015
24	  -0.00004	  -0.00027	   0.00028
25	  -0.00022	  -0.00025	   0.00033
26	  -0.00033	  -0.00027	   0.00043
27	  -0.00007	  -0.00013	   0.00015
28	   0.00004	   0.00000	   0.00004
29	  -0.00005	  -0.00013	   0.00014
30	   0.00060	  -0.00054	   0.00080
31	  -0.00007	  -0.00006	   0.00009
32	  -0.00000	   0.00003	   0.00003
33	  -0.00017	  -0.00099	   0.00100
34	   0.00000	  -0.00003	   0.00003
35	  -0.00007	   0.00011	   0.00013
36	   0.00078	  -0.00036	   0.00086
37	  -0.00002	  -0.00004	   0.00005
38	   0.00000	  -0.00006	   0.00006
39	   0.00028	  -0.00058	   0.00064
40	   0.00003	   0.00007	   0.00007
41	   0.00003	  -0.00014	   0.00015
42	   0.00029	  -0.00031	   0.00042
43	  -0.00000	  -0.00007	   0.00007
44	  -0.00002	   0.00006	   0.00006
45	   0.00081	  -0.00048	   0.00095
46	   0.00014	  -0.00010	   0.00018
47	  -0.00004	  -0.00002	   0.00005
48	  -0.00011	  -0.00087	   0.00088
49	  -0.00021	  -0.00141	   0.00142
50	1476.32593	-1418.70447	2047.50110
51	   0.00080	  -0.00007	   0.00080
52	   0.00025	   0.00025	   0.00035
53	  -0.00019	   0.00016	   0.00025
54	   0.00217	  -0.00050	   0.00222
55	   0.00012	   0.00006	   0.00013
56	   0.00013	   0.00002	   0.00013
57	  -0.00002	  -0.00027	   0.00027
58	   0.00009	  -0.00007	   0.00011
59	   0.00008	   0.00010	   0.00013
60	  -0.00027	  -0.00036	   0.00045
61	   0.00001	  -0.00006	   0.00006
62	  -0.00004	  -0.00009	   0.00010
63	  -0.00043	  -0.00062	   0.00075
64	   0.00003	   0.00009	   0.00010
65	  -0.00002	  -0.00006	   0.00006
66	   0.00066	  -0.00075	   0.00100
67	  -0.00009	  -0.00001	   0.00009
68	   0.00001	   0.00003	   0.00003
69	  -0.00028	  -0.00002	   0.00028
70	   0.00010	   0.00004	   0.00011
71	  -0.00002	   0.00003	   0.00003
72	   0.00038	  -0.00082	   0.00090
73	  -0.00002	  -0.00001	   0.00002
74	   0.00009	  -0.00001	   0.00009
75	  -0.00038	  -0.00027	   0.00047
76	   0.00003	   0.00009	   0.00010
77	  -0.00014	  -0.00007	   0.00016
78	  -0.00029	  -0.00011	   0.00031
79	   0.00001	   0.00003	   0.00003
